ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1664595	2.82e-12	5.96e-17	79.7582609	19.094257	7.2639263	IFNA13	interferon alpha 13
ILMN_2186745	6.46e-11	2.74e-15	56.8591668	18.441143	7.56461611	IFNA7	interferon alpha 7
ILMN_1769988	6.46e-11	4.62e-15	54.2910337	18.32054	7.39410331	IFNA10	interferon alpha 10
ILMN_2176225	6.46e-11	5.46e-15	53.4925577	18.280008	6.28312489	IFNW1	interferon omega 1
ILMN_2202096	1.35e-10	1.42e-14	49.1484795	18.029965	6.96951955	IFNA4	interferon alpha 4
ILMN_1698186	1.67e-10	2.11e-14	47.4524275	17.91671	7.35790488	IFNA2	interferon alpha 2
ILMN_1675192	1.99e-10	2.94e-14	46.0865491	17.818041	6.99119717	IFNA21	interferon alpha 21
ILMN_2110561	3.72e-10	6.29e-14	43.0821676	17.574192	6.77793455	IFNA8	interferon alpha 8
ILMN_1733136	4.67e-10	8.88e-14	41.7823852	17.455702	7.20501503	IFNA16	interferon alpha 16
ILMN_1660195	8.95e-10	1.89e-13	39.0703469	17.178716	6.76986589	IFNA5	interferon alpha 5
ILMN_1781057	2.31e-09	5.56e-13	35.5031734	16.74066	6.28647372	IFNW1	interferon omega 1
ILMN_1776023	2.31e-09	5.86e-13	35.3340322	16.717455	6.81162209	IFNA7	interferon alpha 7
ILMN_1682245	3.59e-09	9.87e-13	33.7332698	16.485362	7.32988122	IFNB1	interferon beta 1
ILMN_1688663	4.49e-09	1.33e-12	32.8560205	16.347912	6.58239263	IFNA1	interferon alpha 1
ILMN_2129202	5.86e-09	1.86e-12	31.8893234	16.187241	7.18931237	IFNA14	interferon alpha 14
ILMN_1742328	6.07e-09	2.05e-12	31.6054802	16.138125	6.1864767	IFNA14	interferon alpha 14
ILMN_1752526	1.52e-08	5.47e-12	28.9573129	15.632677	3.36184721	RNF144B	ring finger protein 144B
ILMN_1671353	4.17e-08	1.59e-11	26.32714	15.031919	5.08962638	IL12A	interleukin 12A
ILMN_1773352	1.30e-07	5.21e-11	23.6675677	14.298828	4.73728819	CCL5	C-C motif chemokine ligand 5
ILMN_2149624	4.10e-07	1.73e-10	21.2403284	13.490998	5.83322731	IFNL1	interferon lambda 1
ILMN_1748092	6.35e-07	2.85e-10	20.3078321	13.138308	3.12704348	F8A3	coagulation factor VIII-associated 3
ILMN_2370976	6.35e-07	2.95e-10	20.2409247	13.111996	1.61436975	MYOF	myoferlin
ILMN_2098126	7.15e-07	3.48e-10	19.9446258	12.993786	5.23784242	CCL5	C-C motif chemokine ligand 5
ILMN_3245702	9.53e-07	4.84e-10	19.3568962	12.750897	3.83541126	IFNE	interferon epsilon
ILMN_2219683	1.64e-06	8.69e-10	18.3542637	12.309046	4.01135762	NEU4	neuraminidase 4
ILMN_2337655	1.95e-06	1.07e-09	18.0046317	12.146264	2.53761858	WARS	tryptophanyl-tRNA synthetase
ILMN_2097997	2.54e-06	1.45e-09	17.5163805	11.910929	3.85815706	IFNE	interferon epsilon
ILMN_1810289	3.81e-06	2.26e-09	16.8244789	11.560559	2.51139439	MYOF	myoferlin
ILMN_3235755	8.59e-06	5.49e-09	15.5069919	10.83359	2.45399792		
ILMN_2129927	8.59e-06	5.53e-09	15.4950938	10.82664	3.03059052	EXT1	exostosin glycosyltransferase 1
ILMN_3247728	8.59e-06	5.62e-09	15.4722018	10.813249	1.50491277	RNF115	ring finger protein 115
ILMN_1742382	1.09e-05	7.38e-09	-15.0894728	10.585347	-1.87678599	RIMS3	regulating synaptic membrane exocytosis 3
ILMN_2312340	1.15e-05	8.18e-09	14.9469165	10.49848	2.15604869	LILRB2	leukocyte immunoglobulin like receptor B2
ILMN_1738401	1.15e-05	8.27e-09	14.9314059	10.488963	3.90244515	FOXC1	forkhead box C1
ILMN_2055634	1.26e-05	9.37e-09	-14.7601772	10.383021	-1.14613156	TIAF1	TGFB1-induced anti-apoptotic factor 1
ILMN_1662302	1.26e-05	9.62e-09	14.7254977	10.361367	4.50821346	IFNL2	interferon lambda 2
ILMN_3302919	1.30e-05	1.02e-08	14.6498367	10.313893	2.30752456	MYOF	myoferlin
ILMN_1773245	1.34e-05	1.07e-08	14.5771981	10.268014	4.57330816	CCL3L1	C-C motif chemokine ligand 3 like 1
ILMN_1684570	1.82e-05	1.54e-08	14.0928216	9.954329	4.42034224	IFNL1	interferon lambda 1
ILMN_1664254	1.82e-05	1.57e-08	14.0697867	9.939069	1.69310903		
ILMN_1795678	1.82e-05	1.58e-08	14.0633205	9.934779	2.27147096	POLR3C	RNA polymerase III subunit C
ILMN_1727271	1.94e-05	1.72e-08	13.9547559	9.862384	2.82855094	WARS	tryptophanyl-tRNA synthetase
ILMN_1772131	2.08e-05	1.89e-08	13.8286338	9.777381	2.76819653		
ILMN_1691717	2.30e-05	2.14e-08	-13.6709175	9.669704	-0.88589422	RHBDF2	rhomboid 5 homolog 2
ILMN_3244775	2.75e-05	2.62e-08	13.4177517	9.493586	1.46857566	LINC00158	long intergenic non-protein coding RNA 158
ILMN_1734781	3.43e-05	3.33e-08	13.1188942	9.280339	3.29665668	IFNE	interferon epsilon
ILMN_1718297	3.58e-05	3.56e-08	-13.0388756	9.222236	-1.13462588	EML4	echinoderm microtubule associated protein like 4
ILMN_1684919	3.65e-05	3.71e-08	12.9890077	9.185807	1.33074295		
ILMN_1668822	3.69e-05	3.82e-08	12.9504381	9.157516	1.78525564	BATF	basic leucine zipper ATF-like transcription factor
ILMN_1687857	3.96e-05	4.18e-08	-12.8422037	9.07758	-1.3180827	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
ILMN_1699651	4.23e-05	4.65e-08	12.715829	8.983221	3.52939021	IL6	interleukin 6
ILMN_1665865	4.23e-05	4.65e-08	12.7148267	8.982468	3.28633934	IGFBP4	insulin like growth factor binding protein 4
ILMN_1671554	4.73e-05	5.30e-08	-12.5598717	8.865223	-1.62975334	LPIN1	lipin 1
ILMN_1701947	4.86e-05	5.54e-08	12.5071299	8.824926	2.66012815	GPR34	G protein-coupled receptor 34
ILMN_1676361	1.01e-04	1.17e-07	11.6547385	8.144932	1.7247457	ARHGAP22	Rho GTPase activating protein 22
ILMN_1771385	1.03e-04	1.22e-07	11.6100091	8.107695	3.07080492	GBP4	guanylate binding protein 4
ILMN_2064606	1.11e-04	1.34e-07	-11.5067578	8.021125	-1.10487899	TBC1D2B	TBC1 domain family member 2B
ILMN_1659206	1.12e-04	1.37e-07	-11.4809273	7.999332	-1.40209151	RARA	retinoic acid receptor alpha
ILMN_2318638	1.14e-04	1.42e-07	11.4437003	7.967828	1.71251359	TGIF1	TGFB induced factor homeobox 1
ILMN_1802411	1.19e-04	1.53e-07	11.3617843	7.898103	0.86708334	ITGA1	integrin subunit alpha 1
ILMN_2158713	1.19e-04	1.53e-07	11.3588591	7.895603	1.70995157	IL36G	interleukin 36, gamma
ILMN_1687315	1.38e-04	1.81e-07	-11.1798498	7.741246	-1.12921961	RXRA	retinoid X receptor alpha
ILMN_1745356	1.47e-04	1.96e-07	11.0973734	7.669215	2.75395078	CXCL9	C-X-C motif chemokine ligand 9
ILMN_1808218	1.57e-04	2.13e-07	11.009518	7.591846	0.98316263		
ILMN_2054297	1.57e-04	2.15e-07	10.9962524	7.580105	5.34735474	PTGS2	prostaglandin-endoperoxide synthase 2
ILMN_2171289	1.59e-04	2.24e-07	10.9565586	7.544884	1.47856783	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
ILMN_1811997	1.59e-04	2.25e-07	10.9488333	7.538013	1.5336877	RNF115	ring finger protein 115
ILMN_1773388	1.65e-04	2.37e-07	-10.8950622	7.490045	-0.87459339	KIAA0226L	KIAA0226 like
ILMN_1660364	1.83e-04	2.67e-07	-10.7730149	7.380222	-1.71442516	CYTH4	cytohesin 4
ILMN_2311166	1.89e-04	2.80e-07	10.722405	7.334292	1.58191115	ITGB5	integrin subunit beta 5
ILMN_2413064	2.07e-04	3.12e-07	-10.6110907	7.232459	-1.29584684	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
ILMN_1677843	2.07e-04	3.16e-07	-10.5984688	7.220841	-1.1113016	RAB24	RAB24, member RAS oncogene family
ILMN_1768900	2.07e-04	3.19e-07	10.5888714	7.211997	3.61316386	IFNL3	interferon lambda 3
ILMN_1722484	2.12e-04	3.31e-07	10.5504771	7.176534	1.31086154		
ILMN_1677511	2.18e-04	3.46e-07	10.5057738	7.135072	4.54568848	PTGS2	prostaglandin-endoperoxide synthase 2
ILMN_1795158	2.25e-04	3.61e-07	-10.4637588	7.095935	-0.77591522	FGR	FGR proto-oncogene, Src family tyrosine kinase
ILMN_1663092	2.35e-04	3.82e-07	10.4060334	7.041897	2.53575324	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
ILMN_2309156	2.56e-04	4.22e-07	-10.3061745	6.947678	-0.87775763	PMEPA1	prostate transmembrane protein, androgen induced 1
ILMN_2100209	2.65e-04	4.42e-07	10.2599703	6.903765	4.06587428		
ILMN_1710962	2.89e-04	4.89e-07	-10.1604469	6.808482	-1.1556407	TMEM97	transmembrane protein 97
ILMN_3238623	2.89e-04	4.95e-07	-10.1480969	6.796592	-0.8391699	LYRM7	LYR motif containing 7
ILMN_1752728	3.26e-04	5.66e-07	-10.0171691	6.669628	-0.92800176	FUCA1	fucosidase, alpha-L- 1, tissue
ILMN_1669842	3.26e-04	5.77e-07	-9.9970775	6.649996	-1.20396703	CHAF1A	chromatin assembly factor 1 subunit A
ILMN_2156267	3.26e-04	5.78e-07	-9.9961891	6.649127	-0.71837007	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1
ILMN_1704353	3.65e-04	6.62e-07	9.8643779	6.519328	1.80730501	IGSF3	immunoglobulin superfamily member 3
ILMN_1803788	3.65e-04	6.63e-07	9.8624206	6.517388	1.651517	LGALS3	lectin, galactoside binding soluble 3
ILMN_2175659	3.66e-04	6.72e-07	9.8497159	6.504783	1.03043189	NUDT8	nudix hydrolase 8
ILMN_1808299	3.86e-04	7.17e-07	-9.788061	6.443382	-1.17192058	IQSEC1	IQ motif and Sec7 domain 1
ILMN_1668442	4.07e-04	7.67e-07	9.7240638	6.379242	1.99012643		
ILMN_2286870	4.07e-04	7.75e-07	9.7140015	6.369119	0.6560958	CSNK1D	casein kinase 1 delta
ILMN_1716596	4.10e-04	7.89e-07	-9.6962511	6.351237	-0.75231599	NSMAF	neutral sphingomyelinase activation associated factor
ILMN_1788457	4.32e-04	8.40e-07	9.6376156	6.291936	0.97384814	ABCC4	ATP binding cassette subfamily C member 4
ILMN_1766650	4.64e-04	9.11e-07	9.5609967	6.213913	1.7326144	FOXA1	forkhead box A1
ILMN_1795918	4.72e-04	9.38e-07	-9.5333353	6.185595	-0.8887958	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
ILMN_1810591	4.75e-04	9.53e-07	9.5185477	6.170423	1.88405564	PUS10	pseudouridylate synthase 10
ILMN_1663916	4.89e-04	1.00e-06	-9.4702568	6.120718	-1.6030968	ARHGAP9	Rho GTPase activating protein 9
ILMN_1751020	4.89e-04	1.01e-06	-9.4667659	6.117116	-2.12444483	PACSIN1	protein kinase C and casein kinase substrate in neurons 1
ILMN_1764177	4.89e-04	1.02e-06	9.4596751	6.109794	0.92073423	JARID2	jumonji and AT-rich interaction domain containing 2
ILMN_1742410	4.89e-04	1.02e-06	9.4523493	6.102224	1.17809926	BCL2L1	BCL2 like 1
ILMN_2218856	4.99e-04	1.05e-06	9.4247434	6.073648	4.78952333	CCL3L1	C-C motif chemokine ligand 3 like 1
ILMN_1763447	5.44e-04	1.16e-06	-9.3353668	5.980573	-1.33094618	PLXNB2	plexin B2
ILMN_1788841	5.68e-04	1.22e-06	-9.286768	5.929604	-1.10444521	TCL1A	T-cell leukemia/lymphoma 1A
ILMN_3191695	5.94e-04	1.29e-06	9.2365986	5.876721	0.68790711		
ILMN_1736863	6.03e-04	1.33e-06	9.2138492	5.852652	1.1423767	TMEM140	transmembrane protein 140
ILMN_1660200	6.96e-04	1.55e-06	9.0736175	5.703031	1.93503011		
ILMN_2368318	6.96e-04	1.56e-06	-9.0660314	5.694875	-0.89011785	FGR	FGR proto-oncogene, Src family tyrosine kinase
ILMN_1660806	6.96e-04	1.57e-06	9.0582955	5.686552	2.94370808	CSRP2	cysteine and glycine rich protein 2
ILMN_2094856	6.98e-04	1.59e-06	9.0477152	5.675157	2.1019571	RANBP3L	RAN binding protein 3 like
ILMN_2125747	7.08e-04	1.64e-06	-9.0204975	5.645787	-1.24526868	LOC606724	coronin 1A pseudogene
ILMN_1683774	7.08e-04	1.65e-06	9.0176296	5.642688	2.04803717	IL2RA	interleukin 2 receptor subunit alpha
ILMN_1791759	7.30e-04	1.71e-06	8.9830273	5.605219	4.10499338	CXCL10	C-X-C motif chemokine ligand 10
ILMN_1794407	7.41e-04	1.75e-06	8.9608245	5.581107	0.70724614		
ILMN_1735577	7.42e-04	1.78e-06	8.9497281	5.569035	0.83286971		
ILMN_2099301	7.42e-04	1.79e-06	-8.9447735	5.563641	-2.03189843	SUN2	Sad1 and UNC84 domain containing 2
ILMN_1654429	7.60e-04	1.85e-06	8.9150501	5.53122	2.35716708	PARPBP	PARP1 binding protein
ILMN_1684538	7.73e-04	1.91e-06	8.8855354	5.498929	3.25771658	IFNA6	interferon alpha 6
ILMN_1784467	7.73e-04	1.91e-06	-8.8852153	5.498578	-1.7416617	NUP210	nucleoporin 210
ILMN_1719998	7.92e-04	1.97e-06	-8.8558207	5.466319	-1.11263666	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1
ILMN_2086981	7.97e-04	2.00e-06	8.8424529	5.451615	1.80152638	POU3F1	POU class 3 homeobox 1
ILMN_1757343	8.05e-04	2.04e-06	8.8267491	5.434317	1.21023364	PABPC4	poly(A) binding protein cytoplasmic 4
ILMN_1749662	8.14e-04	2.08e-06	-8.8098439	5.415664	-1.74342512	GPX1	glutathione peroxidase 1
ILMN_1684887	8.18e-04	2.11e-06	8.7978785	5.402441	1.6551006	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
ILMN_1692219	8.20e-04	2.13e-06	-8.7881363	5.391663	-1.41479327	RAB11FIP1	RAB11 family interacting protein 1
ILMN_1680156	8.59e-04	2.25e-06	8.7403088	5.338593	0.58243132	HYPM	huntingtin interacting protein M
ILMN_1814797	8.65e-04	2.28e-06	-8.7276891	5.324546	-0.89864612		
ILMN_2230902	9.04e-04	2.41e-06	8.6817047	5.273204	0.91075666	CTNNA1	catenin alpha 1
ILMN_1801504	9.19e-04	2.47e-06	-8.661083	5.250101	-1.15379769	RUNX1	runt related transcription factor 1
ILMN_1739428	9.33e-04	2.52e-06	8.6405902	5.227092	3.68663821	IFIT2	interferon induced protein with tetratricopeptide repeats 2
ILMN_1760247	1.02e-03	2.77e-06	8.5596694	5.135757	1.67360161	CD70	CD70 molecule
ILMN_2382657	1.02e-03	2.80e-06	-8.5515805	5.126584	-1.21081932	ARHGAP9	Rho GTPase activating protein 9
ILMN_1659029	1.08e-03	2.98e-06	-8.4982786	5.06595	-1.50553028	DENND6B	DENN domain containing 6B
ILMN_1734543	1.08e-03	3.02e-06	-8.4868836	5.052943	-1.66472992	PTPRE	protein tyrosine phosphatase, receptor type E
ILMN_1675632	1.09e-03	3.07e-06	8.4710032	5.034791	1.06744239		
ILMN_1815874	1.10e-03	3.11e-06	8.4605715	5.022851	0.9523322	NANS	N-acetylneuraminate synthase
ILMN_2359159	1.10e-03	3.15e-06	8.450817	5.011674	1.07914507	DSC3	desmocollin 3
ILMN_1747355	1.12e-03	3.21e-06	8.4340731	4.992462	4.64333203	CCL3L1	C-C motif chemokine ligand 3 like 1
ILMN_1725471	1.12e-03	3.23e-06	8.4275979	4.985024	0.6929203	GK	glycerol kinase
ILMN_1656682	1.23e-03	3.61e-06	8.3332755	4.876095	0.98711501	AZIN1	antizyme inhibitor 1
ILMN_1757604	1.23e-03	3.62e-06	-8.332544	4.875246	-1.86839246	TPM2	tropomyosin 2 (beta)
ILMN_1756595	1.26e-03	3.71e-06	-8.3104837	4.849613	-1.36948431	SH3TC1	SH3 domain and tetratricopeptide repeats 1
ILMN_1725510	1.26e-03	3.76e-06	-8.2988676	4.836091	-0.94640267	DHCR24	24-dehydrocholesterol reductase
ILMN_1741159	1.28e-03	3.84e-06	8.2813148	4.815628	2.30296061	MAP3K8	mitogen-activated protein kinase kinase kinase 8
ILMN_2373062	1.28e-03	3.86e-06	-8.2771943	4.810819	-0.840232	RHBDF2	rhomboid 5 homolog 2
ILMN_1722648	1.28e-03	3.90e-06	8.2693702	4.801682	0.71490259	SF3B4	splicing factor 3b subunit 4
ILMN_2141482	1.33e-03	4.07e-06	-8.2329867	4.759092	-1.60199551	SERPINF1	serpin family F member 1
ILMN_1656293	1.34e-03	4.15e-06	8.2176321	4.74107	0.68184825	GOSR2	golgi SNAP receptor complex member 2
ILMN_1672151	1.36e-03	4.23e-06	8.2010546	4.72158	1.11186807		
ILMN_2060770	1.41e-03	4.41e-06	-8.1672548	4.681737	-0.79456977	RAI1	retinoic acid induced 1
ILMN_3307930	1.55e-03	4.88e-06	8.0816816	4.58023	0.65139769	RAN	RAN, member RAS oncogene family
ILMN_2393450	1.56e-03	4.97e-06	-8.06821	4.564167	-1.34001629	INF2	inverted formin, FH2 and WH2 domain containing
ILMN_2266595	1.56e-03	5.00e-06	8.0628786	4.557803	2.86449294	LILRA5	leukocyte immunoglobulin like receptor A5
ILMN_1702501	1.56e-03	5.00e-06	-8.0624027	4.557235	-0.92691721	RPS6KA2	ribosomal protein S6 kinase A2
ILMN_1659913	1.56e-03	5.04e-06	8.0562142	4.549844	1.03688851	ISG20	interferon stimulated exonuclease gene 20
ILMN_1672024	1.56e-03	5.07e-06	8.0502023	4.542659	1.21234735		
ILMN_2086095	1.57e-03	5.14e-06	8.039047	4.529316	0.9186365	ID2	inhibitor of DNA binding 2, HLH protein
ILMN_2357419	1.65e-03	5.46e-06	7.9898153	4.470239	2.05462517	LILRA5	leukocyte immunoglobulin like receptor A5
ILMN_2347592	1.65e-03	5.47e-06	7.988797	4.469014	3.31507026	NMB	neuromedin B
ILMN_1684576	1.67e-03	5.57e-06	-7.9733094	4.450364	-0.79636515	CLN8	ceroid-lipofuscinosis, neuronal 8
ILMN_2159859	1.70e-03	5.71e-06	7.9540198	4.427094	0.59025182	LYSMD4	LysM domain containing 4
ILMN_1705922	1.75e-03	5.93e-06	-7.9233465	4.389993	-1.26116531	BAIAP2	BAI1 associated protein 2
ILMN_1717229	1.78e-03	6.06e-06	7.9048801	4.367599	0.9648317	AAED1	AhpC/TSA antioxidant enzyme domain containing 1
ILMN_1672878	1.78e-03	6.12e-06	-7.896415	4.357319	-0.91007908	ABR	active BCR-related
ILMN_2206554	1.78e-03	6.14e-06	7.8947104	4.355248	0.72395385	SLC35F5	solute carrier family 35 member F5
ILMN_1736982	1.80e-03	6.25e-06	-7.8803408	4.337774	-1.01599936	PHACTR1	phosphatase and actin regulator 1
ILMN_1760174	1.86e-03	6.50e-06	-7.8482211	4.298619	-0.61026902	MCCC1	methylcrotonoyl-CoA carboxylase 1
ILMN_1749629	1.86e-03	6.57e-06	7.8398317	4.28837	0.53956686	CUL1	cullin 1
ILMN_1789196	1.86e-03	6.58e-06	-7.8382946	4.286491	-2.33034799	TPM2	tropomyosin 2 (beta)
ILMN_3208233	1.87e-03	6.72e-06	7.8216584	4.266138	0.6671785		
ILMN_1681721	1.87e-03	6.73e-06	7.8207274	4.264998	2.06037016	OASL	2'-5'-oligoadenylate synthetase like
ILMN_3307659	1.87e-03	6.77e-06	7.8156726	4.258806	0.89352155	SFT2D2	SFT2 domain containing 2
ILMN_1775734	1.87e-03	6.78e-06	-7.8136686	4.25635	-1.07903887	SH2D3C	SH2 domain containing 3C
ILMN_1701854	1.87e-03	6.80e-06	7.8114195	4.253593	0.94884969	GNG5	G protein subunit gamma 5
ILMN_1813338	1.90e-03	6.96e-06	7.7932566	4.231308	1.24892324	LAG3	lymphocyte activating 3
ILMN_1772359	1.97e-03	7.24e-06	-7.7617399	4.192535	-1.18790315	LAPTM5	lysosomal protein transmembrane 5
ILMN_1849941	2.01e-03	7.44e-06	7.7391447	4.164659	0.89056535	MAPK8	mitogen-activated protein kinase 8
ILMN_1773337	2.01e-03	7.48e-06	7.73543	4.16007	1.64305145	DKK1	dickkopf WNT signaling pathway inhibitor 1
ILMN_3228595	2.02e-03	7.56e-06	7.7264366	4.148952	0.71654288		
ILMN_2394161	2.07e-03	7.80e-06	7.7015251	4.118101	1.52751888	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
ILMN_1737857	2.11e-03	7.99e-06	7.6821919	4.094102	0.77952411	GTF2B	general transcription factor IIB
ILMN_3243928	2.12e-03	8.08e-06	7.6734782	4.083269	0.90263598	DDX60L	DEAD-box helicase 60-like
ILMN_1710923	2.20e-03	8.41e-06	7.6422657	4.044385	1.67145146	SLAMF7	SLAM family member 7
ILMN_1674135	2.21e-03	8.51e-06	-7.6321331	4.031734	-0.52436087	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1
ILMN_1724863	2.22e-03	8.57e-06	7.6269056	4.025203	1.09657772	TICAM1	toll like receptor adaptor molecule 1
ILMN_1677200	2.22e-03	8.63e-06	-7.6216463	4.018627	-1.60124374	CYFIP2	cytoplasmic FMR1 interacting protein 2
ILMN_1749432	2.25e-03	8.82e-06	7.6045715	3.997255	0.99487458	MRPL32	mitochondrial ribosomal protein L32
ILMN_2383611	2.26e-03	8.88e-06	-7.5991322	3.990439	-1.79624134	PTPRE	protein tyrosine phosphatase, receptor type E
ILMN_1700507	2.30e-03	9.09e-06	7.5807846	3.967418	0.63078385	CLASP1	cytoplasmic linker associated protein 1
ILMN_3299365	2.32e-03	9.20e-06	-7.5710999	3.955249	-0.68608681		
ILMN_1783753	2.33e-03	9.29e-06	-7.5634771	3.945661	-0.70238914	TXNDC12	thioredoxin domain containing 12
ILMN_1760347	2.37e-03	9.53e-06	7.5432997	3.920247	0.75355861	SRGN	serglycin
ILMN_2061405	2.40e-03	9.69e-06	7.5297174	3.903109	0.56766892	NUP54	nucleoporin 54
ILMN_1810956	2.43e-03	9.87e-06	7.5159734	3.885742	0.95942664		
ILMN_2329679	2.45e-03	1.00e-05	-7.5054051	3.872371	-1.24235848	TPST2	tyrosylprotein sulfotransferase 2
ILMN_1768505	2.45e-03	1.01e-05	-7.4967957	3.861467	-0.98886299	IL13RA1	interleukin 13 receptor subunit alpha 1
ILMN_2166696	2.45e-03	1.01e-05	7.4945824	3.858662	1.057788	ANGPTL5	angiopoietin like 5
ILMN_1792389	2.45e-03	1.02e-05	-7.4934405	3.857215	-1.20626929	RNF165	ring finger protein 165
ILMN_1670134	2.47e-03	1.03e-05	-7.4822348	3.843003	-1.48073335	FADS1	fatty acid desaturase 1
ILMN_1754600	2.53e-03	1.06e-05	7.4615063	3.816669	1.6378255	FNBP1L	formin binding protein 1 like
ILMN_1732923	2.59e-03	1.09e-05	7.4392271	3.788302	1.56541103	SIPA1L2	signal induced proliferation associated 1 like 2
ILMN_1814077	2.64e-03	1.12e-05	7.4194839	3.763107	0.65458791	ZFPM2	zinc finger protein, FOG family member 2
ILMN_1764228	2.66e-03	1.13e-05	-7.4096382	3.750524	-0.88911277	DAB2	DAB2, clathrin adaptor protein
ILMN_1665943	2.67e-03	1.14e-05	-7.402709	3.74166	-1.37856087	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
ILMN_1697694	2.72e-03	1.17e-05	-7.3859405	3.720183	-0.67681901	ATP6AP1	ATPase H+ transporting accessory protein 1
ILMN_2388975	2.74e-03	1.18e-05	-7.3757058	3.707055	-1.65963132		
ILMN_1784661	2.75e-03	1.19e-05	7.3687308	3.698101	0.41078157	TMEM2	transmembrane protein 2
ILMN_1775829	2.76e-03	1.20e-05	7.3631915	3.690985	0.49935705	PERP	PERP, TP53 apoptosis effector
ILMN_2194009	2.80e-03	1.23e-05	7.3458892	3.668731	1.10945355	ABCC4	ATP binding cassette subfamily C member 4
ILMN_1728106	2.80e-03	1.23e-05	7.3444927	3.666933	1.93196057	TNF	tumor necrosis factor
ILMN_1671509	2.82e-03	1.25e-05	7.3318538	3.650649	4.53532232	CCL3	C-C motif chemokine ligand 3
ILMN_2175912	2.82e-03	1.25e-05	-7.3307601	3.649239	-1.97155282	ITGB2	integrin subunit beta 2
ILMN_1718607	2.96e-03	1.32e-05	-7.2890797	3.595378	-0.73458805	TSPAN4	tetraspanin 4
ILMN_2365111	2.96e-03	1.32e-05	-7.287315	3.593092	-0.84036962	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
ILMN_1782439	2.97e-03	1.34e-05	-7.279775	3.583322	-0.5146365	CNN3	calponin 3
ILMN_1761138	3.03e-03	1.37e-05	-7.2613915	3.559468	-1.3289469	C9orf142	chromosome 9 open reading frame 142
ILMN_1769566	3.07e-03	1.40e-05	7.2443416	3.537303	0.65939022	ATG3	autophagy related 3
ILMN_1801246	3.07e-03	1.41e-05	7.241859	3.534072	1.05679133	IFITM1	interferon induced transmembrane protein 1
ILMN_2206344	3.07e-03	1.41e-05	-7.2393624	3.530822	-0.620023	NDST2	N-deacetylase and N-sulfotransferase 2
ILMN_1695058	3.10e-03	1.43e-05	7.2296169	3.518129	1.25778906	SLC38A5	solute carrier family 38 member 5
ILMN_3238196	3.13e-03	1.45e-05	-7.2179395	3.502901	-1.29092042	CYTH4	cytohesin 4
ILMN_2042771	3.16e-03	1.47e-05	7.2057478	3.486984	0.66450359	PTTG1	pituitary tumor-transforming 1
ILMN_1788638	3.16e-03	1.47e-05	7.2055943	3.486783	1.09247256	SPATA31A3	SPATA31 subfamily A member 3
ILMN_1740200	3.18e-03	1.50e-05	7.1940631	3.471709	0.95922681		
ILMN_2318643	3.18e-03	1.50e-05	7.1937977	3.471362	1.26681109	TGIF1	TGFB induced factor homeobox 1
ILMN_1714159	3.24e-03	1.54e-05	7.1736533	3.444983	0.58217874	LUZP1	leucine zipper protein 1
ILMN_1656057	3.24e-03	1.54e-05	-7.1707662	3.441198	-1.26103543	PLAU	plasminogen activator, urokinase
ILMN_1734276	3.29e-03	1.57e-05	-7.1572117	3.423411	-1.24811887	PMEPA1	prostate transmembrane protein, androgen induced 1
ILMN_1767509	3.42e-03	1.64e-05	-7.1245562	3.380456	-1.00040813	DEF8	differentially expressed in FDCP 8 homolog
ILMN_1665717	3.49e-03	1.68e-05	-7.1056086	3.355465	-0.82271663	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma
ILMN_1806692	3.52e-03	1.70e-05	-7.0968553	3.343903	-1.04280473	HEXB	hexosaminidase subunit beta
ILMN_1661833	3.52e-03	1.71e-05	-7.0908655	3.335985	-0.52980069	ANKRD12	ankyrin repeat domain 12
ILMN_1651506	3.52e-03	1.72e-05	7.0901616	3.335054	0.48460353	TGS1	trimethylguanosine synthase 1
ILMN_1774287	3.66e-03	1.79e-05	7.0574339	3.2917	0.78806509	CFB	complement factor B
ILMN_1708006	3.67e-03	1.81e-05	7.0509882	3.283144	0.54746551	MICB	MHC class I polypeptide-related sequence B
ILMN_2375484	3.71e-03	1.83e-05	7.040498	3.269207	0.71130659	CPEB2	cytoplasmic polyadenylation element binding protein 2
ILMN_2094106	3.99e-03	1.98e-05	-6.9832426	3.192867	-0.61673501	HSD17B12	hydroxysteroid 17-beta dehydrogenase 12
ILMN_1703946	4.02e-03	2.00e-05	6.9741261	3.18067	0.61463453	ADORA2B	adenosine A2b receptor
